address,location_original,state_original,country_original,location_current,state_current,country_current,category,moved_in,moved_out
Rumpffsweg 27,Hamm,Nordrhein-Westfalen,Germany,Hamm,Nordrhein-Westfalen,Germany,city,1914,1928
Laubaner Walkgasse 12,Lauban,Niederschlesien,Prussia,Lubań,Niederschlesien,Poland,city,1928,1938
Greiffenberger Schützenstraße 4,Greiffenberg,Niederschlesien,Prussia,Gryfów Śląski,Niederschlesien,Poland,city,1938,1940
Arras-Kaserne,Hirschberg,Sudetenland,Germany,Doksy,Liberecký kraj,Czech Republic,city,1940,1941
Garnison Hagenau,Hagenau,Elsass,Germany,Haguenau,Grand Est,France,city,1941,1941
NA,Lauban,Niederschlesien,Prussia,Lubań,Niederschlesien,Poland,city,1941,1942
NA,Leirvåg,More og Romsdal,Norway,Leirvåg,More og Romsdal,Norway,village,1942,1945
Kriegsgefangenen-Auffanglager 2218,Vilvoorde,Bruxelles ,Belgium,Vilvoorde,Bruxelles ,Belgium,city,1945,1945
Transitlager Luthe,Wunstorf,Hannover,Germany,Wunstorf,Hannover,Germany,city,1945,1945
Munsterlager,Munster,Niedersachsen,Germany,Munster,Niedersachsen,Germany,city,1945,1945
Mühlenhof,Cordingen,Niedersachsen,Germany,Cordingen,Niedersachsen,Germany,village,1945,1950
Breitnebenstraße 229,Gau-Bickelheim,Rheinland-Pfalz,Germany,Gau-Bickelheim,Rheinland-Pfalz,Germany,village,1950,1951
Haus Nr. 63,Kastel,Rheinland-Pfalz,Germany,Kastel,Rheinland-Pfalz,Germany,village,1951,1955
Inselstraße,Darmstadt,Hessen,Germany,Darmstadt,Hessen,Germany,city,1955,1958
Haus Nr. 67,Bargfeld,Niedersachsen,Germany,Bargfeld,Niedersachsen,Germany,village,1958,1979
